"code","description","comment"
"03.11.20.151","Акула сельдевая свежая или охлажденная",NA
"03.11.20.152","Акула макрелевая свежая или охлажденная",NA
"03.11.20.153","Акула серая и серо-голубая свежая или охлажденная",NA
"03.11.20.154","Акула синяя свежая или охлажденная",NA
"03.11.20.155","Акула колючая (акула-катран) свежая или охлажденная",NA
"03.11.20.156","Акула-молот свежая или охлажденная",NA
"03.11.20.157","Скат северный свежий или охлажденный",NA
"03.11.20.158","Скат листовидный свежий или охлажденный",NA
"03.11.20.159","Рыба пластиножаберная прочая свежая или охлажденная",NA
"03.11.20.160","Рыба сельдевая свежая или охлажденная",NA
"03.11.20.161","Сельдь атлантическая свежая или охлажденная",NA
"03.11.20.162","Сельдь тихоокеанская свежая или охлажденная",NA
"03.11.20.163","Сельдь каспийско-черноморская свежая или охлажденная",NA
"03.11.20.164","Сардины свежие или охлажденные",NA
"03.11.20.165","Шпроты свежие или охлажденные",NA
"03.11.20.166","Салака свежая или охлажденная",NA
"03.11.20.167","Килька, тюлька свежие или охлажденные",NA
"03.11.20.168","Иваси свежие или охлажденные",NA
"03.11.20.169","Рыба сельдевая прочая свежая или охлажденная",NA
"03.11.20.170","Рыба анчоусовая свежая или охлажденная",NA
"03.11.20.171","Анчоусы свежие или охлажденные",NA
"03.11.20.172","Хамса свежая или охлажденная",NA
"03.11.20.179","Рыба анчоусовая прочая свежая или охлажденная",NA
"03.11.20.190","Рыба морская прочая свежая или охлажденная",NA
"03.11.20.191","Кефаль свежая или охлажденная",NA
"03.11.20.192","Лобан свежий или охлажденный",NA
"03.11.20.193","Рыба-меч свежая или охлажденная",NA
"03.11.20.194","Рыба-пила свежая или охлажденная",NA
"03.11.20.195","Петух морской свежий или охлажденный",NA
"03.11.20.196","Язык морской свежий или охлажденный",NA
"03.11.20.197","Корюшка свежая или охлажденная",NA
"03.11.20.198","Мойва свежая или охлажденная",NA
"03.11.20.199","Рыба морская прочая свежая или охлажденная, не включенная в другие группировки",NA
"03.11.3","Ракообразные немороженые, не являющиеся продукцией рыбоводства",NA
"03.11.30","Ракообразные немороженые, не являющиеся продукцией рыбоводства",NA
"03.11.30.110","Лангусты",NA
"03.11.30.120","Омары",NA
"03.11.30.130","Крабы",NA
"03.11.30.140","Креветки",NA
"03.11.30.190","Ракообразные немороженые прочие, не являющиеся продукцией рыбоводства, не включенные в другие группировки",NA
"03.11.4","Моллюски и прочие водные беспозвоночные живые, свежие или охлажденные, не являющиеся продукцией рыбоводства",NA
"03.11.41","Устрицы живые, свежие или охлажденные, не являющиеся продукцией рыбоводства",NA
"03.11.41.000","Устрицы живые, свежие или охлажденные, не являющиеся продукцией рыбоводства",NA
"03.11.42","Моллюски и водные беспозвоночные прочие живые, свежие или охлажденные, не являющиеся продукцией рыбоводства",NA
"03.11.42.110","Гребешки",NA
"03.11.42.120","Мидии",NA
"03.11.42.130","Каракатицы",NA
"03.11.42.140","Осьминоги",NA
"03.11.42.150","Кальмары",NA
"03.11.42.160","Ежи морские",NA
"03.11.42.170","Голотурии",NA
"03.11.42.180","Медузы",NA
"03.11.42.190","Беспозвоночные водные живые, свежие или охлажденные, не являющиеся продукцией рыбоводства, прочие, не включенные в другие группировки",NA
"03.11.5","Жемчуг природный необработанный",NA
"03.11.50","Жемчуг природный необработанный",NA
"03.11.50.000","Жемчуг природный необработанный",NA
"03.11.6","Растения водные, животные морские и их продукты прочие",NA
"03.11.61","Кораллы и аналогичные материалы, раковины и панцири моллюсков, ракообразных или иглокожих и скелетные пластины каракатиц",NA
"03.11.61.110","Кораллы и аналогичные материалы, необработанные или подвергнутые первичной обработке",NA
"03.11.61.120","Раковины и панцири моллюсков, ракообразных или иглокожих, необработанные или подвергнутые первичной обработке",NA
"03.11.61.130","Пластины каракатиц скелетные, необработанные или подвергнутые первичной обработке",NA
"03.11.61.140","Порошок и отходы первичной обработки кораллов, раковин и панцирей моллюсков, ракообразных или иглокожих, скелетных пластин каракатиц",NA
"03.11.62","Губки животного происхождения натуральные",NA
"03.11.62.000","Губки животного происхождения натуральные",NA
"03.11.63","Водоросли морские и прочие, не являющиеся продукцией рыбоводства",NA
"03.11.63.110","Водоросли зеленые",NA
"03.11.63.120","Водоросли бурые",NA
"03.11.63.130","Водоросли красные",NA
"03.11.63.140","Травы морские",NA
"03.11.63.190","Водоросли прочие",NA
"03.11.69","Растения водные, животные морские прочие и их продукты, не включенные в другие группировки",NA
"03.11.69.000","Растения водные, животные морские прочие и их продукты, не включенные в другие группировки",NA
"03.11.7","Услуги, связанные с морским рыболовством",NA
"03.11.70","Услуги, связанные с морским рыболовством",NA
"03.11.70.110","Услуги по аэрорыбразведке",NA
"03.11.70.120","Услуги по рыбохране и рыбнадзору",NA
"03.11.70.130","Услуги по регулированию вылова рыбы",NA
"03.11.70.190","Услуги, связанные с морским рыболовством, прочие",NA
"03.12","Рыба и прочая продукция пресноводного рыболовства; услуги, связанные с пресноводным рыболовством",NA
"03.12.1","Рыба пресноводная живая, не являющаяся продукцией рыбоводства",NA
"03.12.11","Рыба пресноводная декоративная живая, не являющаяся продукцией рыбоводства",NA
"03.12.11.000","Рыба пресноводная декоративная живая, не являющаяся продукцией рыбоводства",NA
"03.12.12","Рыба пресноводная живая, не являющаяся продукцией рыбоводства",NA
"03.12.12.110","Рыба лососевая дальневосточная живая",NA
"03.12.12.111","Кета живая",NA
"03.12.12.112","Горбуша живая",NA
"03.12.12.113","Чавыча живая",NA
"03.12.12.114","Сима живая",NA
"03.12.12.115","Нерка живая",NA
"03.12.12.116","Кижуч живой",NA
"03.12.12.119","Рыба лососевая дальневосточная прочая живая",NA
"03.12.12.120","Рыба лососевая живая, кроме дальневосточной",NA
"03.12.12.121","Лосось балтийский живой",NA
"03.12.12.122","Лосось каспийский живой",NA
"03.12.12.123","Семга живая",NA
"03.12.12.124","Форель ручьевая и озерная живая",NA
"03.12.12.125","Кумжа живая",NA
"03.12.12.126","Лох живой",NA
"03.12.12.129","Рыба лососевая (кроме дальневосточной) прочая живая",NA
"03.12.12.130","Рыба карповая живая",NA
"03.12.12.131","Карп пресноводный живой",NA
"03.12.12.132","Сазан живой",NA
"03.12.12.133","Лещ, амур живые",NA
"03.12.12.134","Рыбец живой",NA
"03.12.12.135","Толстолобик живой",NA
"03.12.12.136","Вобла (тарань) живая",NA
"03.12.12.137","Плотва живая",NA
"03.12.12.138","Линь, язь живые",NA
"03.12.12.139","Рыба карповая прочая живая",NA
"03.12.12.140","Рыба осетровая живая",NA
"03.12.12.141","Осетр живой",NA
"03.12.12.142","Севрюга живая",NA
"03.12.12.143","Белуга живая",NA
"03.12.12.144","Стерлядь живая",NA
"03.12.12.145","Бестер живой",NA
"03.12.12.146","Шип живой",NA
"03.12.12.147","Калуга живая",NA
"03.12.12.149","Рыба осетровая прочая живая",NA
"03.12.12.150","Рыба сиговая живая",NA
"03.12.12.151","Муксун живой",NA
"03.12.12.152","Омуль живой",NA
"03.12.12.153","Сиг живой",NA
"03.12.12.154","Пелядь живая",NA
"03.12.12.155","Тугун живой",NA
"03.12.12.156","Чир живой",NA
"03.12.12.157","Ряпушка живая",NA
"03.12.12.158","Белорыбица живая",NA
"03.12.12.159","Рыба сиговая прочая живая",NA
"03.12.12.190","Рыба пресноводная прочая живая",NA
"03.12.12.191","Угорь живой",NA
"03.12.12.192","Миноги живые",NA
"03.12.12.193","Хариус живой",NA
"03.12.12.194","Щука живая",NA
"03.12.12.195","Окунь живой",NA
"03.12.12.196","Судак живой",NA
"03.12.12.197","Налим живой",NA
"03.12.12.198","Сом живой",NA
"03.12.12.211","Снеток живой",NA
"03.12.12.219","Рыба пресноводная прочая живая, не включенная в другие группировки",NA
"03.12.2","Рыба пресноводная свежая или охлажденная, не являющаяся продукцией рыбоводства",NA
"03.12.20","Рыба пресноводная свежая или охлажденная, не являющаяся продукцией рыбоводства",NA
"03.12.20.110","Рыба лососевая (кроме дальневосточной) свежая или охлажденная",NA
"03.12.20.111","Лосось балтийский свежий или охлажденный",NA
"03.12.20.112","Лосось каспийский свежий или охлажденный",NA
"03.12.20.113","Семга свежая или охлажденная",NA
"03.12.20.114","Форель ручьевая и озерная свежая или охлажденная",NA
"03.12.20.115","Кумжа свежая или охлажденная",NA
"03.12.20.116","Лох свежий или охлажденный",NA
"03.12.20.119","Рыба лососевая (кроме дальневосточной) прочая свежая или охлажденная",NA
"03.12.20.120","Рыба лососевая дальневосточная свежая или охлажденная",NA
"03.12.20.121","Кета свежая или охлажденная",NA
"03.12.20.122","Горбуша свежая или охлажденная",NA
"03.12.20.123","Чавыча свежая или охлажденная",NA
"03.12.20.124","Сима свежая или охлажденная",NA
"03.12.20.125","Нерка свежая или охлажденная",NA
"03.12.20.126","Кижуч свежий или охлажденный",NA
"03.12.20.129","Рыба лососевая дальневосточная прочая свежая или охлажденная",NA
"03.12.20.130","Рыба карповая свежая или охлажденная",NA
"03.12.20.131","Карп пресноводный свежий или охлажденный",NA
"03.12.20.132","Сазан свежий или охлажденный",NA
"03.12.20.133","Лещ свежий или охлажденный, амур свежий или охлажденный",NA
"03.12.20.134","Рыбец свежий или охлажденный",NA
"03.12.20.135","Толстолобик свежий или охлажденный",NA
"03.12.20.136","Вобла (тарань) свежая или охлажденная",NA
"03.12.20.137","Плотва свежая или охлажденная",NA
"03.12.20.138","Линь, язь свежие или охлажденные",NA
"03.12.20.139","Рыба карповая прочая свежая или охлажденная",NA
"03.12.20.140","Рыба осетровая свежая или охлажденная",NA
"03.12.20.141","Осетр свежий или охлажденный",NA
"03.12.20.142","Севрюга свежая или охлажденная",NA
"03.12.20.143","Белуга свежая или охлажденная",NA
"03.12.20.144","Стерлядь свежая или охлажденная",NA
"03.12.20.145","Бестер свежий или охлажденный",NA
"03.12.20.146","Шип свежий или охлажденный",NA
"03.12.20.147","Калуга свежая или охлажденная",NA
"03.12.20.149","Рыба осетровая прочая свежая или охлажденная",NA
"03.12.20.150","Рыба сиговая свежая или охлажденная",NA
"03.12.20.151","Муксун свежий или охлажденный",NA
"03.12.20.152","Омуль свежий или охлажденный",NA
"03.12.20.153","Сиг свежий или охлажденный",NA
"03.12.20.154","Пелядь свежая или охлажденная",NA
"03.12.20.155","Тугун свежий или охлажденный",NA
"03.12.20.156","Чир свежий или охлажденный",NA
"03.12.20.157","Ряпушка свежая или охлажденная",NA
"03.12.20.158","Белорыбица свежая или охлажденная",NA
"03.12.20.159","Рыба сиговая прочая свежая или охлажденная",NA
"03.12.20.190","Рыба пресноводная прочая свежая или охлажденная",NA
"03.12.20.191","Угорь свежий или охлажденный",NA
"03.12.20.192","Миноги свежие или охлажденные",NA
"03.12.20.193","Хариус свежий или охлажденный",NA
"03.12.20.194","Щука свежая или охлажденная",NA
"03.12.20.195","Окунь свежий или охлажденный",NA
"03.12.20.196","Судак свежий или охлажденный",NA
"03.12.20.197","Налим свежий или охлажденный",NA
"03.12.20.198","Сом свежий или охлажденный",NA
"03.12.20.211","Снеток свежий или охлажденный",NA
"03.12.20.219","Рыба пресноводная прочая свежая или охлажденная, не включенная в другие группировки",NA
"03.12.3","Растения водные, животные пресноводные прочие и их продукты, не включенные в другие группировки",NA
"03.12.30","Растения водные, животные пресноводные прочие и их продукты, не включенные в другие группировки",NA
"03.12.30.110","Растения водные пресноводные",NA
"03.12.30.120","Раки пресноводные, не являющиеся продукцией рыбоводства",NA
"03.12.30.190","Животные пресноводные прочие и их продукты, не включенные в другие группировки",NA
"03.12.4","Услуги, связанные с пресноводным рыболовством",NA
"03.12.40","Услуги, связанные с пресноводным рыболовством",NA
"03.12.40.000","Услуги, связанные с пресноводным рыболовством",NA
"03.2","Рыба и прочая продукция рыбоводства; услуги, связанные с рыбоводством",NA
"03.21","Рыба и прочая продукция морского рыбоводства; услуги, связанные с морским рыбоводством",NA
"03.21.1","Рыба морская живая, являющаяся продукцией рыбоводства",NA
"03.21.11","Рыба морская декоративная живая, являющаяся продукцией рыбоводства",NA
"03.21.11.000","Рыба морская декоративная живая, являющаяся продукцией рыбоводства",NA
"03.21.12","Рыба морская живая, являющаяся продукцией рыбоводства (кроме декоративной)",NA
"03.21.12.110","Камбала живая, являющаяся продукцией рыбоводства",NA
"03.21.12.120","Треска живая, являющаяся продукцией рыбоводства",NA
"03.21.12.130","Тиляпия живая, являющаяся продукцией рыбоводства",NA
"03.21.12.190","Рыба морская прочая живая, являющаяся продукцией рыбоводства",NA
"03.21.2","Рыба морская свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.21.20","Рыба морская свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.21.20.110","Камбала свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.21.20.120","Треска свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.21.20.130","Тиляпия свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.21.20.190","Рыба морская прочая свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.21.3","Ракообразные морские немороженые, являющиеся продукцией рыбоводства",NA
"03.21.30","Ракообразные морские немороженые, являющиеся продукцией рыбоводства",NA
"03.21.30.000","Ракообразные немороженые, являющиеся продукцией рыбоводства",NA
"03.21.4","Растения водные, животные морские и их продукты прочие, являющиеся продукцией рыбоводства",NA
"03.21.41","Устрицы живые, свежие или охлажденные, являющиеся продукцией рыбоводства",NA
"03.21.41.000","Устрицы живые, свежие или охлажденные, являющиеся продукцией рыбоводства",NA
"03.21.42","Жемчуг культивированный необработанный",NA
"03.21.42.000","Жемчуг культивированный необработанный",NA
"03.21.43","Водоросли морские, являющиеся продукцией рыбоводства",NA
"03.21.43.000","Водоросли морские, являющиеся продукцией рыбоводства",NA
"03.21.44","Моллюски и водные беспозвоночные прочие живые, свежие или охлажденные, являющиеся продукцией рыбоводства",NA
"03.21.44.000","Моллюски и водные беспозвоночные прочие живые, свежие или охлажденные, являющиеся продукцией рыбоводства",NA
"03.21.49","Растения водные, животные морские и их продукты прочие, являющиеся продукцией рыбоводства, не включенные в другие группировки",NA
"03.21.49.000","Растения водные, животные морские и их продукты прочие, являющиеся продукцией рыбоводства, не включенные в другие группировки",NA
"03.21.5","Продукция рыбоводная морская",NA
"03.21.50","Продукция рыбоводная морская",NA
"03.21.50.110","Икра рыбоводная морская",NA
"03.21.50.120","Личинки рыбы морские",NA
"03.21.50.130","Мальки рыбы морские",NA
"03.21.50.140","Молодь рыбы морская",NA
"03.21.50.150","Сеголетки морские",NA
"03.21.50.160","Годовики морские",NA
"03.21.50.170","Рыба возрастных категорий морская","Эта группировка включает:- возрастные категории молоди рыб, прошедшие одну, две и т.д. зимовки и имеющие возраст один, два и более лет"
"03.21.50.180","Рыба ремонтного поголовья морская","Эта группировка включает:- рыбу в возрасте, приближающемся к первому созреванию, отобранную для формирования пополнения маточного поголовья"
"03.21.50.210","Рыба морская маточного поголовья","Эта группировка включает:- половозрелую рыбу, содержащуюся в специальных благоприятных условиях (пониженная плотность посадки, температурный и световой режим, кормление сбалансированными кормами и т.д.) в целях многократного получения от нее потомства"
"03.21.9","Услуги, связанные с морским рыбоводством",NA
"03.21.90","Услуги, связанные с морским рыбоводством",NA
"03.21.90.110","Услуги по рыбохозяйственной мелиорации морских и минерализированных водных объектов",NA
"03.21.90.120","Услуги по искусственному воспроизводству морских биоресурсов",NA
"03.21.90.130","Услуги по акклиматизации морских биоресурсов",NA
"03.21.90.190","Услуги, связанные с морским рыбоводством, прочие",NA
"03.22","Рыба и прочая продукция пресноводного рыбоводства; услуги, связанные с пресноводным рыбоводством",NA
"03.22.1","Рыба пресноводная живая, являющаяся продукцией рыбоводства",NA
"03.22.10","Рыба пресноводная живая, являющаяся продукцией рыбоводства",NA
"03.22.10.110","Амур белый живой, являющийся продукцией рыбоводства",NA
"03.22.10.120","Амур черный живой, являющийся продукцией рыбоводства",NA
"03.22.10.130","Белуга живая, являющаяся продукцией рыбоводства",NA
"03.22.10.140","Бестер живой, являющийся продукцией рыбоводства",NA
"03.22.10.150","Веслонос живой, являющийся продукцией рыбоводства",NA
"03.22.10.160","Карп живой прудовых хозяйств",NA
"03.22.10.170","Осетр русский живой, являющийся продукцией рыбоводства",NA
"03.22.10.180","Осетр сибирский живой, являющийся продукцией рыбоводства",NA
"03.22.10.210","Пелядь живая, являющаяся продукцией рыбоводства",NA
"03.22.10.220","Стерлядь живая, являющаяся продукцией рыбоводства",NA
"03.22.10.230","Толстолобик белый живой, являющийся продукцией рыбоводства",NA
"03.22.10.240","Толстолобик пестрый живой, являющийся продукцией рыбоводства",NA
"03.22.10.250","Форель радужная живая, являющаяся продукцией рыбоводства",NA
"03.22.10.260","Кета живая, являющаяся продукцией рыбоводства",NA
"03.22.10.270","Линь живой, являющийся продукцией рыбоводства",NA
"03.22.10.280","Лосось живой, являющийся продукцией рыбоводства",NA
"03.22.10.310","Налим живой, являющийся продукцией рыбоводства",NA
"03.22.10.320","Окунь живой, являющийся продукцией рыбоводства",NA
"03.22.10.330","Сазан живой, являющийся продукцией рыбоводства",NA
"03.22.10.340","Семга живая, являющаяся продукцией рыбоводства",NA
"03.22.10.350","Сиг живой, являющийся продукцией рыбоводства",NA
"03.22.10.360","Судак живой, являющийся продукцией рыбоводства",NA
"03.22.10.370","Щука живая, являющаяся продукцией рыбоводства",NA
"03.22.10.380","Сом живой, являющийся продукцией рыбоводства",NA
"03.22.10.390","Рыба пресноводная прочая живая, являющаяся продукцией рыбоводства",NA
"03.22.2","Рыба свежая или охлажденная, пресноводная, являющаяся продукцией рыбоводства",NA
"03.22.20","Рыба свежая или охлажденная, пресноводная, являющаяся продукцией рыбоводства",NA
"03.22.20.110","Амур белый свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.120","Амур черный свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.130","Белуга свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.22.20.140","Бестер свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.150","Веслонос свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.160","Карп свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.170","Осетр русский свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.180","Осетр сибирский свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.210","Пелядь свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.22.20.220","Стерлядь свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.22.20.230","Толстолобик белый свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.240","Толстолобик пестрый свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.250","Форель радужная свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.22.20.260","Кета свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.22.20.270","Линь свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.280","Лосось свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.310","Налим свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.320","Окунь свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.330","Сазан свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.340","Семга свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.22.20.350","Сиг свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.360","Судак свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.370","Щука свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.22.20.380","Сом свежий или охлажденный, являющийся продукцией рыбоводства",NA
"03.22.20.390","Рыба пресноводная прочая свежая или охлажденная, являющаяся продукцией рыбоводства",NA
"03.22.3","Растения водные, животные пресноводные и их продукты прочие, являющиеся продукцией рыбоводства",NA
"03.22.30","Растения водные, животные пресноводные и их продукты прочие, являющиеся продукцией рыбоводства",NA
"03.22.30.110","Растения водные, являющиеся продукцией рыбоводства",NA
"03.22.30.120","Животные пресноводные и их продукты прочие, являющиеся продукцией рыбоводства",NA
"03.22.30.121","Раки, являющиеся продукцией рыбоводства",NA
"03.22.30.129","Животные пресноводные и их продукты прочие, являющиеся продукцией рыбоводства",NA
"03.22.4","Продукция рыбоводная пресноводная",NA
"03.22.40","Продукция рыбоводная пресноводная",NA
"03.22.40.110","Икра рыбоводная пресноводная",NA
"03.22.40.120","Личинки рыбы пресноводные",NA
"03.22.40.130","Мальки рыбы пресноводные",NA
"03.22.40.140","Молодь рыбы пресноводная",NA
"03.22.40.150","Сеголетки пресноводные",NA
"03.22.40.160","Годовики пресноводные",NA
"03.22.40.170","Рыба возрастных категорий пресноводная","Эта группировка включает:- возрастные категории молоди рыб, прошедшие одну, две и т.д. зимовки и имеющие возраст один, два и более лет"
"03.22.40.180","Рыба ремонтного поголовья пресноводная","Эта группировка включает:- рыбу в возрасте, приближающемся к первому созреванию, отобранную для формирования пополнения маточного поголовья"
"03.22.40.210","Рыба маточного поголовья пресноводная","Эта группировка включает:- половозрелую рыбу, содержащуюся в специальных благоприятных условиях (пониженная плотность посадки, температурный и световой режим, кормление сбалансированными кормами и т.д.) в целях многократного получения от нее потомства"
"03.22.9","Услуги, связанные с пресноводным рыбоводством",NA
"03.22.90","Услуги, связанные с пресноводным рыбоводством",NA
"03.22.90.110","Услуги по рыбохозяйственной мелиорации пресноводных объектов",NA
"03.22.90.120","Услуги по искусственному воспроизводству пресноводных биоресурсов",NA
"03.22.90.130","Услуги по акклиматизации пресноводных биоресурсов",NA
"03.22.90.190","Услуги, связанные с пресноводным рыбоводством, прочие",NA
"РАЗДЕЛ B","ПРОДУКЦИЯ ГОРНОДОБЫВАЮЩИХ ПРОИЗВОДСТВ",NA
"05","Уголь",NA
"05.1","Уголь",NA
"05.10","Уголь",NA
"05.10.1","Уголь",NA
"05.10.10","Уголь",NA
"05.10.10.110","Антрацит",NA
"05.10.10.120","Уголь коксующийся",NA
"05.10.10.121","Уголь коксующийся марки ГЖО - газовый жирный отощенный",NA
"05.10.10.122","Уголь коксующийся марки ГЖ - газовый жирный",NA
"05.10.10.123","Уголь коксующийся марки Ж - жирный",NA
"05.10.10.124","Уголь коксующийся марки КЖ - коксовый жирный",NA
"05.10.10.125","Уголь коксующийся марки К - коксовый",NA
"05.10.10.126","Уголь коксующийся марки КО - коксовый отощенный",NA
"05.10.10.127","Уголь коксующийся марки КС - коксовый слабоспекающийся",NA
"05.10.10.128","Уголь коксующийся марки ОС - отощенный спекающийся",NA
"05.10.10.130","Уголь, за исключением антрацита, угля коксующегося и угля бурого",NA
"05.10.10.131","Уголь марки Д - длиннопламенный",NA
"05.10.10.132","Уголь марки ДГ - длиннопламенный газовый",NA
"05.10.10.133","Уголь марки Г - газовый",NA
"05.10.10.134","Уголь марки КСН - коксовый слабоспекающийся низкометаморфизованный",NA
"05.10.10.135","Уголь марки ТС - тощий спекающийся",NA
"05.10.10.136","Уголь марки СС - слабоспекающийся",NA
"05.10.10.137","Уголь марки Т - тощий",NA
"05.10.10.140","Уголь и антрацит обогащенные",NA
"05.10.10.141","Антрацит обогащенный",NA
"05.10.10.142","Уголь коксующийся обогащенный",NA
"05.10.10.143","Уголь обогащенный, за исключением антрацита, угля коксующегося и угля бурого (лигнита)",NA
"05.2","Уголь бурый (лигнит)",NA
"05.20","Уголь бурый (лигнит)",NA
"05.20.1","Уголь бурый (лигнит)",NA
"05.20.10","Уголь бурый (лигнит)",NA
"05.20.10.110","Уголь бурый рядовой (лигнит)",NA
"05.20.10.120","Уголь бурый обогащенный (лигнит)",NA
"05.20.10.130","Концентрат бурого угля (лигнита)",NA
"06","Нефть сырая и газ природный",NA
"06.1","Нефть сырая",NA
"06.10","Нефть сырая",NA
"06.10.1","Нефть сырая и нефтепродукты, полученные из битуминозных пород",NA
"06.10.10","Нефть сырая и нефтепродукты, полученные из битуминозных пород",NA
"06.10.10.100","Нефть сырая",NA
"06.10.10.110","Нефть сырая малосернистая",NA
"06.10.10.111","Нефть сырая малосернистая особо легкая материковых месторождений",NA
"06.10.10.112","Нефть сырая малосернистая особо легкая морских месторождений",NA
"06.10.10.113","Нефть сырая малосернистая особо легкая нефтяных оторочек",NA
"06.10.10.114","Нефть сырая малосернистая легкая материковых месторождений",NA
"06.10.10.115","Нефть сырая малосернистая легкая морских месторождений",NA
"06.10.10.116","Нефть сырая малосернистая легкая нефтяных оторочек",NA
"06.10.10.117","Нефть сырая малосернистая средняя материковых месторождений",NA
"06.10.10.118","Нефть сырая малосернистая средняя морских месторождений",NA
"06.10.10.119","Нефть сырая малосернистая средняя нефтяных оторочек",NA
"06.10.10.121","Нефть сырая малосернистая тяжелая материковых месторождений",NA
"06.10.10.122","Нефть сырая малосернистая тяжелая морских месторождений",NA
"06.10.10.123","Нефть сырая малосернистая тяжелая нефтяных оторочек",NA
"06.10.10.124","Нефть сырая малосернистая битуминозная материковых месторождений",NA
"06.10.10.125","Нефть сырая малосернистая битуминозная морских месторождений",NA
"06.10.10.126","Нефть сырая малосернистая битуминозная нефтяных оторочек",NA
"06.10.10.130","Нефть сырая сернистая",NA
"06.10.10.131","Нефть сырая сернистая особо легкая материковых месторождений",NA
"06.10.10.132","Нефть сырая сернистая особо легкая морских месторождений",NA
"06.10.10.133","Нефть сырая сернистая особо легкая нефтяных оторочек",NA
"06.10.10.134","Нефть сырая сернистая легкая материковых месторождений",NA
"06.10.10.135","Нефть сырая сернистая легкая морских месторождений",NA
"06.10.10.136","Нефть сырая сернистая легкая нефтяных оторочек",NA
"06.10.10.137","Нефть сырая сернистая средняя материковых месторождений",NA
"06.10.10.138","Нефть сырая сернистая средняя морских месторождений",NA
"06.10.10.139","Нефть сырая сернистая средняя нефтяных оторочек",NA
"06.10.10.141","Нефть сырая сернистая тяжелая материковых месторождений",NA
"06.10.10.142","Нефть сырая сернистая тяжелая морских месторождений",NA
"06.10.10.143","Нефть сырая сернистая тяжелая нефтяных оторочек",NA
"06.10.10.144","Нефть сырая сернистая битуминозная материковых месторождений",NA
"06.10.10.145","Нефть сырая сернистая битуминозная морских месторождений",NA
"06.10.10.146","Нефть сырая сернистая битуминозная нефтяных оторочек",NA
"06.10.10.150","Нефть сырая высокосернистая",NA
"06.10.10.151","Нефть сырая высокосернистая особо легкая материковых месторождений",NA
"06.10.10.152","Нефть сырая высокосернистая особо легкая морских месторождений",NA
"06.10.10.153","Нефть сырая высокосернистая особо легкая нефтяных оторочек",NA
"06.10.10.154","Нефть сырая высокосернистая легкая материковых месторождений",NA
"06.10.10.155","Нефть сырая высокосернистая легкая морских месторождений",NA
"06.10.10.156","Нефть сырая высокосернистая легкая нефтяных оторочек",NA
"06.10.10.157","Нефть сырая высокосернистая средняя материковых месторождений",NA
"06.10.10.158","Нефть сырая высокосернистая средняя морских месторождений",NA
"06.10.10.159","Нефть сырая высокосернистая средняя нефтяных оторочек",NA
"06.10.10.161","Нефть сырая высокосернистая тяжелая материковых месторождений",NA
"06.10.10.162","Нефть сырая высокосернистая тяжелая морских месторождений",NA
"06.10.10.163","Нефть сырая высокосернистая тяжелая нефтяных оторочек",NA
"06.10.10.164","Нефть сырая высокосернистая битуминозная материковых месторождений",NA
"06.10.10.165","Нефть сырая высокосернистая битуминозная морских месторождений",NA
"06.10.10.166","Нефть сырая высокосернистая битуминозная нефтяных оторочек",NA
"06.10.10.170","Нефть сырая особо высокосернистая",NA
"06.10.10.171","Нефть сырая особо высокосернистая особо легкая материковых месторождений",NA
"06.10.10.172","Нефть сырая особо высокосернистая особо легкая морских месторождений",NA
