"code","description","comment"
"42.99.22.110","Работы строительные по строительству конструкций и плоскостных сооружений стадионов и прочих площадок для спортивных игр на открытом воздухе, таких как футбол, бейсбол, регби, легкая атлетика, автомобильные гонки, велосипедные гонки и скачки",NA
"42.99.22.120","Работы строительные по строительству объектов для отдыха, таких как площадок для игры в гольф, пляжных сооружений, горных убежищ, парковых территорий и парковых сооружений для отдыха",NA
"42.99.29","Работы строительные по строительству гражданских сооружений, не включенные в другие группировки","Эта группировка включает:- разделение земли на участки и их благоустройство, включая подготовку доступа к дорогам, коммуникациям и/или аналогичные предварительные работы по благоустройству территории;- строительные работы по строительству прочих гражданских сооружений, не включенных в другие группировки"
"42.99.29.000","Работы строительные по строительству гражданских сооружений, не включенные в другие группировки",NA
"43","Работы строительные специализированные",NA
"43.1","Работы по сносу зданий и сооружений и по подготовке строительного участка",NA
"43.11","Работы по сносу зданий и сооружений",NA
"43.11.1","Работы по сносу зданий и сооружений",NA
"43.11.10","Работы по сносу зданий и сооружений","Эта группировка включает:- работы по демонтажу и сносу зданий и прочих конструкций;- работы по демонтажу и сносу для строительства улиц и автомагистралей;- работы по демонтажу и сносу для строительства улиц и автомагистралей"
"43.11.10.000","Работы по сносу зданий и сооружений",NA
"43.12","Работы по подготовке строительной площадки",NA
"43.12.1","Работы по подготовке строительной площадки",NA
